2018-11-30 10:09:37,722 INFO 16352 [-/127.0.0.1/-/0ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 0ms
2018-11-30 10:09:47,511 INFO 16352 [-/127.0.0.1/-/1ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 1ms
2018-11-30 10:09:57,510 INFO 16352 [-/127.0.0.1/-/0ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 0ms
2018-11-30 10:10:07,511 INFO 16352 [-/127.0.0.1/-/1ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 1ms
2018-11-30 10:10:17,512 INFO 16352 [-/127.0.0.1/-/1ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 1ms
2018-11-30 10:10:27,511 INFO 16352 [-/127.0.0.1/-/0ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 0ms
2018-11-30 10:10:37,512 INFO 16352 [-/127.0.0.1/-/1ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 1ms
2018-11-30 10:10:47,302 INFO 16352 [-/127.0.0.1/-/0ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 0ms
2018-11-30 10:10:57,302 INFO 16352 [-/127.0.0.1/-/1ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 1ms
2018-11-30 10:11:07,302 INFO 16352 [-/127.0.0.1/-/0ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 0ms
2018-11-30 10:11:17,303 INFO 16352 [-/127.0.0.1/-/1ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 1ms
2018-11-30 10:11:27,302 INFO 16352 [-/127.0.0.1/-/0ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 0ms
2018-11-30 10:11:37,302 INFO 16352 [-/127.0.0.1/-/0ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 0ms
2018-11-30 10:11:47,093 INFO 16352 [-/127.0.0.1/-/0ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 0ms
2018-11-30 10:11:57,094 INFO 16352 [-/127.0.0.1/-/1ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 1ms
2018-11-30 10:12:07,094 INFO 16352 [-/127.0.0.1/-/0ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 0ms
2018-11-30 10:12:17,096 INFO 16352 [-/127.0.0.1/-/1ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 1ms
2018-11-30 10:12:27,095 INFO 16352 [-/127.0.0.1/-/0ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 0ms
2018-11-30 10:12:37,097 INFO 16352 [-/127.0.0.1/-/1ms SCHEDULE /__schedule?path=C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js&interval=10s&type=worker] [egg-schedule] C:\Users\linge l yu\Desktop\eg_shop_server\app\schedule\payTime.js execute succeed, used 1ms
